bill,title,designer,theatre,city,year,genre
A-01,Victory over the Sun,Kazimir Malevich,Luna Park Theatre,St Petersburg,1913,Futurist opera
A-02,The Magnanimous Cuckold,Lyubov Popova,Meyerhold Theatre,Moscow,1922,Constructivist
A-03,The Death of Tarelkin,Varvara Stepanova,Meyerhold Theatre,Moscow,1922,Constructivist
A-04,Salomé,Alexandra Exter,Kamerny Theatre,Moscow,1917,Tragedy
A-05,Romeo and Juliet,Alexandra Exter,Kamerny Theatre,Moscow,1921,Drama
A-06,Earth Rampant,Lyubov Popova,Meyerhold Theatre,Moscow,1923,Agit-drama
A-07,The Bedbug,Constructivist workshop,Meyerhold Theatre,Moscow,1929,Satire
A-08,Spatial Stage Construction,OBMOKhU group,Studio production,Moscow,1921,Constructivist
A-09,Suprematist Tableau,Kazimir Malevich,Experimental studio,Vitebsk,1920,Tableau
A-10,Non-Objective Scenery,Ivan Kliun,Studio production,Moscow,1918,Non-objective
A-11,Costume Colour Study,Olga Rozanova,Studio production,Moscow,1917,Costume study
A-12,Liturgie (design),Natalia Goncharova,Ballets Russes,Paris,1915,Ballet
